county_name,county_fips,swing_score_100,margin_change_pct,latest_abs_margin_pct,turnout_latest
HYDE,37095,78.46686387842661,23.03540781822622,11.72558231681431,70666
PASQUOTANK,37139,71.4119403504513,22.552454140901933,21.65931126713474,598200
TYRRELL,37177,70.74818875704786,14.590787552156401,2.971254133808199,39310
DARE,37055,69.18464073687487,32.03533143940679,48.67946908700015,755378
CABARRUS,37025,67.01478263465506,25.83897008864523,36.74348204534192,3265058
MARTIN,37117,66.65483829428884,17.06414165456318,15.560438345563343,289452
WATAUGA,37189,66.04801137509342,13.290319205339559,7.163348592600361,877718
GREENE,37079,65.43485116169363,10.86991638939023,2.1310922156280054,242974
SAMPSON,37163,63.40762297888784,28.671368067293912,49.45557507430715,539652
ROBESON,37155,63.032230851871454,11.94627420259637,8.589877334564145,849302
CHOWAN,37041,62.671315239293236,23.22065032327993,37.1061042025508,200878
BLADEN,37017,59.706430162819466,18.06046340721646,28.99292414020076,486160
ROCKINGHAM,37157,58.9621564104676,29.92018050977211,59.564928831654186,1404276
LENOIR,37107,58.95335282809868,11.68950358266375,14.388825902391433,606832
GRANVILLE,37077,58.63110244108507,12.854835201191719,17.785865419736545,607786
HARNETT,37085,58.45120374624951,21.77710556836061,40.186121038209066,1175794
CHATHAM,37037,57.89283637004294,15.482824216098429,25.464889890937016,1625116
JOHNSTON,37101,57.45742795110538,24.58282403288164,48.70882837050093,3464218
WASHINGTON,37187,56.504430475961506,15.27002718978121,27.1279612582348,137526
WILSON,37195,55.784629633686045,9.53983091810596,14.059678548074384,871670
